401,FILOSOFIA DE LA PRACTICA,718
402,DESARROLLO SOCIAL DE PUEBLOS INDIGENAS,441
403,GERENCIA SOCIAL,1627
404,ADMINISTRACION ESCOLAR,1337
405,SEGURIDAD CIUDADANA,441
406,OPERADOR DE TELECOMUNICACIONES AERONAUTICAS,80
407,GESTION ADMINISTRATIVA Y FISCAL,441
408,CORTE Y CONFECCION,1337
409,NAVEGACION Y OPERACIONES ACUATICAS,1772
410,PLANIFICACION DEL DESARROLLO REGIONAL,268
411,GASTRONOMIA TRADICIONAL,1337
412,SUPERVISION Y GERENCIA EDUCATIVA,200
413,DEFENSA AEREA,275
414,ROPA,474
415,ENSENANZA DE LA FISICA,517
416,INVESTIGACION EDUCACIONAL,517
417,INFORMACION Y COMUNICACION AERONAUTICA,80
418,ADMINISTRACION,7
419,EQUIPOS MECANICOS,1160
420,QUIMICA APLICADA,1552
421,ECOLOGIA ACUATICA,213
422,EJECUCION INSTRUMENTAL CORNO SOLISTA SINFONICO,1273
423,DOCENCIA UNIVERSITARIA,220
424,GERENCIA EDUCATIVA,1337
425,GERENCIA,21
426,DEFENSA INTEGRAL DE LA PATRIA,441
427,SEGURIDAD Y DEFENSA DE LA NACION,1337
428,PRODUCCION AGROALIMENTARIA,441
429,GERENCIA DE SEGURIDAD Y CONFIABILIDAD INDUSTRIAL,993
430,EDUCACION ESPECIAL,517
431,CIENCIAS SOCIALES AREA HISTORIA,517
432,EDUCACION FISICA,567
433,MECANICA Y PLANTAS NAVALES,257
434,EPIDEMIOLOGIA,49
435,ESTUDIOS CULTURALES,270
436,GESTION PUBLICA,441
437,MANTENIMIENTO ELECTRICO,1029
438,ADMINISTRACION DE HOSPITALES,43
439,MERCADEO,21
440,INDUSTRIAL,21
441,MERCADOTECNIA,7
442,PUBLICIDAD,1254
443,ADMINISTRACION Y GESTION PUBLICA,268
444,DERECHOS HUMANOS,1750
445,PSICOLOGIA INTEGRAL,1750
446,CONSEJERIA PASTORAL,1750
447,EDUCACION INTERCULTURAL BILINGUE,1483
448,EDAFOLOGIA,83
449,ADMINISTRACION EDUCATIVA,220
450,BANCA Y FINANZAS,21
451,COSTOS,337
452,ADMINISTRACION Y SEGUROS,441
453,AVIACION PLANTAS NAVALES,280
454,LENGUA Y LITERATURA,1483
455,MANTENIENDO AERONAUTICO,1022
456,INTELIGENCIA,275
457,COMUNICACIONES,253
458,TELECOMUNICACIONES,592
459,ENERGIA Y AMBIENTE,170
460,ELECTRICIDAD,1159
461,POLITICAS PUBLICAS,441
462,GESTION TURISTICA,1779
463,EJECUCION INSTRUMENTAL TROMPETA,1273
464,DIRECCION ORQUESTAL,1273
465,GESTION COMUNAL,441
466,ACTUACION,1660
467,AGROECOLOGIA Y PAISAJISMO,441
468,LENGUA DE SENAS,1337
469,LENGUA LITERATURA Y LATIN,538
470,EDUCACION PARA LA SALUD DE LOS TRABAJADORES,1605
471,GESTION EN SEGURIDAD CIUDADANA,441
472,AUDITORIA,337
473,GESTION URBANA,451
